Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Phuentsholing,98497.76,98.5
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Rinchending,98578.22,98.58
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Pasakha,98631.86,98.63
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Chimakothi,100206.55,100.21
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Lungtenzampa,100650.06,100.65
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Paro Town,100667.39,100.67
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Haa,101502.7,101.5
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Bajo Town,100772.16,100.77
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Beychu,101085.06,101.09
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Samtse Town,98001.89,98
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Sipsoo,99702.4,99.7
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Gomtu,98060.23,98.06
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Gedu,99801.95,99.8
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Khuruthang,100743.31,100.74
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Gasa,102265.75,102.27
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Motithang,100650.06,100.65
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Olakha,100650.06,100.65
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Paro NIE Bridge,100667.39,100.67
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Langlitsawa,101040.36,101.04
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Wangdue Zero Point,100772.16,100.77
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-04-01,Phuentsholing Main gate,98497.76,98.5
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Gelephu Forest Checkpost,99125.45,99.13
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Sarpang,99510.71,99.51
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Dagapela,100990.31,100.99
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Tsirang,100533.41,100.53
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Zhemgang,100996.53,101
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Trongsa,101954.03,101.95
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Bumthang,102933.03,102.93
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Dagana,101508.01,101.51
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Lhamoizingkha,100135.44,100.14
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Dangdung,100792.69,100.79
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Panbang,100573.73,100.57
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Tingtibi,100137.64,100.14
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Gelephu Gate,99125.45,99.13
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-04-01,Gelephu Town,99125.45,99.13
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Gelephu Town,76171.71,76.17
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Sarpang,76528.01,76.53
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Dagapela,77913.01,77.91
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Tsirang,77439.7,77.44
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Zhemgang,80558.69,80.56
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Trongsa,79539.61,79.54
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Bumthang,80003.2,80
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Dagana,78417.6,78.42
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Lhamoizingkha,76394.31,76.39
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Dangdung,79646.09,79.65
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Panbang,77724.24,77.72
Central Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Tingtibi,77946.22,77.95
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Gelephu Town,77462.93,77.46
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Sarpang,77858.21,77.86
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Dagapela,79370.53,79.37
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Tsirang,78919.31,78.92
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Zhemgang,82063.37,82.06
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Trongsa,81033.39,81.03
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Bumthang,81613.12,81.61
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Dagana,79916.83,79.92
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Lhamoizingkha,77658.9,77.66
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Dangdung,81033.82,81.03
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Panbang,79015.46,79.02
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Tingtibi,79288.43,79.29
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Gelephu Forest Checkpost,76171.71,76.17
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Sarpang,76528.01,76.53
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Dagapela,77913.01,77.91
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Tsirang,77439.7,77.44
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Zhemgang,78144.89,78.14
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Trongsa,79110.49,79.11
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Bumthang,80003.2,80
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Dagana,78417.6,78.42
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Lhamoizingkha,77179.68,77.18
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Dangdung,79646.09,79.65
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Panbang,77724.24,77.72
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Tingtibi,77369.52,77.37
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Gelephu Gate,76171.71,76.17
Central Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Gelephu Town,76171.71,76.17
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Gelephu Forest Checkpost,77462.93,77.46
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Sarpang,77858.21,77.86
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Dagapela,79370.53,79.37
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Tsirang,78919.31,78.92
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Zhemgang,79649.57,79.65
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Trongsa,80604.27,80.6
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Bumthang,81613.12,81.61
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Dagana,79916.83,79.92
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Lhamoizingkha,78473.62,78.47
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Dangdung,81033.82,81.03
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Panbang,79015.46,79.02
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Tingtibi,78711.73,78.71
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Gelephu Gate,77462.93,77.46
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Gelephu Town,77462.93,77.46
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Samdrup Jongkhar,77050.15,77.05
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Wamrong,78504.64,78.5
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Trashigang,78756.73,78.76
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Trashiyangtse,79679.08,79.68
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Mongar,79833.35,79.83
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Gyelposing,79802.17,79.8
